"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2021,10,4,"Les Corts",21,"Pedralbes",6940,"2.9"
2021,10,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3145,"2.9"
2021,10,5,"Sarrià-Sant Gervasi",23,"Sarrià",14867,"3.0"
2021,10,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9892,"3.6"
2021,10,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15912,"3.3"
2021,10,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29730,"3.2"
2021,10,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19256,"4.3"
2021,10,6,"Gràcia",28,"Vallcarca i els Penitents",10354,"5.3"
2021,10,6,"Gràcia",29,"el Coll",5100,"4.4"
2021,10,6,"Gràcia",30,"la Salut",8343,"5.7"
2021,10,6,"Gràcia",31,"la Vila de Gràcia",35004,"5.0"
2021,10,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22798,"5.2"
2021,10,7,"Horta-Guinardó",33,"el Baix Guinardó",16514,"5.5"
2021,10,7,"Horta-Guinardó",34,"Can Baró",6126,"5.5"
2021,10,7,"Horta-Guinardó",35,"el Guinardó",24380,"6.0"
2021,10,7,"Horta-Guinardó",36,"la Font d'en Fargues",5855,"7.8"
2021,10,7,"Horta-Guinardó",37,"el Carmel",21226,"7.4"
2021,10,7,"Horta-Guinardó",38,"la Teixonera",8045,"6.3"
2021,10,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4655,"6.7"
2021,10,7,"Horta-Guinardó",40,"Montbau",3227,"7.0"
2021,10,7,"Horta-Guinardó",41,"la Vall d'Hebron",3584,"6.7"
2021,10,7,"Horta-Guinardó",42,"la Clota",497,"3.4"
2021,10,7,"Horta-Guinardó",43,"Horta",17761,"7.3"
2021,10,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16331,"7.5"
